iter	F1	Logloss
0	0.8239086489	0.6547435597
1	0.8383342232	0.6191078692
2	0.8385856212	0.585015449
3	0.8382729211	0.5557186283
4	0.8395074889	0.5303804778
5	0.8385444456	0.5056707712
6	0.838365518	0.4832156189
7	0.8388399023	0.4615090695
8	0.8393997446	0.4425841275
9	0.8394273245	0.4266549821
10	0.8454569536	0.4076992399
11	0.8454569536	0.3933327032
12	0.84663289	0.37958084
13	0.8661351675	0.3646442819
14	0.8676279215	0.3534836297
15	0.8675386692	0.3431721292
16	0.8605257667	0.3341970432
17	0.8606446229	0.3263066735
18	0.8613169154	0.3176483354
19	0.863482473	0.3092837129
20	0.8723404255	0.2990624131
21	0.8754701427	0.2916193256
22	0.8793430844	0.2833039998
23	0.878013674	0.2780108436
24	0.8783144913	0.2713788557
25	0.8802997639	0.2657273415
26	0.8820691779	0.2599946439
27	0.8810110974	0.2554147817
28	0.8820449646	0.2507206545
29	0.8836374821	0.2461217798
30	0.8850092156	0.2425926016
31	0.8861393732	0.237638601
32	0.8866560722	0.2336269947
33	0.8892073077	0.2301676466
34	0.8906513841	0.2260867534
35	0.8910931588	0.2228541428
36	0.8933455807	0.2192722185
37	0.8946186051	0.2161828126
38	0.8951584103	0.212921561
39	0.8961085327	0.2102370395
40	0.8968751593	0.2079049821
41	0.8975823727	0.2057080764
42	0.8978176627	0.2035409795
43	0.8982713783	0.2014170274
44	0.8979800041	0.1994948655
45	0.8981821895	0.197172749
46	0.8997806906	0.1948795043
47	0.8997909123	0.1931266215
48	0.8996532735	0.1913380767
49	0.9008310814	0.1896175015
50	0.9019168026	0.1877454375
51	0.9028018339	0.1861198569
52	0.9030516073	0.1846748132
53	0.9042840405	0.1827774491
54	0.904087249	0.1815849999
55	0.9049778367	0.179913993
56	0.9054412064	0.178694451
57	0.9061927073	0.1773039868
58	0.9064330464	0.1754545069
59	0.9062659195	0.1745038829
60	0.9065525324	0.1734079628
61	0.9072290998	0.1721183462
62	0.907952347	0.1698386139
63	0.9077949188	0.1685927939
64	0.909756842	0.1671370626
65	0.9115673917	0.1656727621
66	0.9120203304	0.1647067787
67	0.911863373	0.1638520183
68	0.9119276312	0.1628640211
69	0.9117437722	0.1619419294
70	0.9123805652	0.1605558516
71	0.9142073449	0.1595226183
72	0.9141057551	0.1588070836
73	0.9142712037	0.1578050037
74	0.914622378	0.1568467475
75	0.9147758997	0.1559783931
76	0.9155244187	0.1547212743
77	0.9156724374	0.1541035045
78	0.9157103686	0.1535777822
79	0.9159770523	0.1528050064
80	0.915985583	0.1521637833
81	0.916298665	0.1513917679
82	0.9163536697	0.1506505392
83	0.9164086687	0.1500924821
84	0.9163326399	0.149595944
85	0.9162776537	0.1492496453
86	0.9171864699	0.147812003
87	0.9170048701	0.1469899304
88	0.9182224026	0.1460261878
89	0.9183404342	0.1455674302
90	0.9189435799	0.1446976228
91	0.9190833502	0.1442621691
92	0.9189901653	0.1439505002
93	0.9189819509	0.1434574251
94	0.9196858373	0.1427633066
95	0.9201925513	0.1421950099
96	0.9206992653	0.1415681277
97	0.921307322	0.1409253429
98	0.9218069482	0.1402087353
99	0.9218615486	0.1398353166
100	0.9221344674	0.1392333679
101	0.9225006328	0.1386433563
102	0.9229212005	0.1381741826
103	0.9233026409	0.1376169403
104	0.9231158321	0.1371992905
105	0.923574933	0.1366433248
106	0.9243680485	0.1361418706
107	0.9248105104	0.1355362416
108	0.9249658936	0.1352677175
109	0.9252766129	0.1344630685
110	0.9252298676	0.1341219982
111	0.9250669496	0.133881273
112	0.9250820914	0.1335736647
113	0.9249191593	0.1332568081
114	0.9249191593	0.1328663868
115	0.9250277862	0.1323948637
116	0.9250366476	0.1318305054
117	0.9253384522	0.1312689989
118	0.9258810461	0.1306378389
119	0.925927796	0.1304137089
120	0.9260755403	0.1302257433
121	0.9260362498	0.1295689708
122	0.9262456459	0.1292251979
123	0.9264475743	0.1290053865
124	0.926703685	0.1286305147
125	0.9264475743	0.1284450344
126	0.927112232	0.1280023423
127	0.9273139975	0.1278305782
128	0.9275917709	0.1275077462
129	0.9278402501	0.1269396669
130	0.9279088526	0.1266659958
131	0.9282185704	0.1262673856
132	0.9281177538	0.1260075121
133	0.9280709713	0.1256458132
134	0.9282725944	0.1253234974
135	0.9283266129	0.1250657017
136	0.9283338373	0.1247938911
137	0.9283878446	0.1245213065
138	0.9285426325	0.1242308501
139	0.9284886358	0.1240786416
140	0.9286974049	0.123908833
141	0.9289061319	0.1236471126
142	0.9288521616	0.1234474272
143	0.9287981859	0.1232977447
144	0.9291362377	0.1228913529
145	0.9290965858	0.1226896169
146	0.9296143389	0.1221738898
147	0.9299843962	0.1218612839
148	0.9299773471	0.1216316674
149	0.9301318836	0.1214594551
150	0.9299632445	0.12130597
151	0.9302325581	0.1210004259
152	0.9303730554	0.1207887355
153	0.9302723657	0.1206008786
154	0.9303262183	0.1204282724
155	0.9308036838	0.1202468255
156	0.9310188679	0.1199487098
157	0.9309720266	0.1197718258
158	0.9314282839	0.1194710076
159	0.9317370089	0.1193208226
