iter	Passed	Remaining
0	672	671583
1	1729	862947
2	2617	869761
3	3560	886623
4	4073	810581
5	4573	757709
6	5050	716457
7	5536	686495
8	6021	663072
9	6522	645732
10	7181	645713
11	8101	667015
12	12028	913252
13	15674	1103908
14	20021	1314734
15	22418	1378711
16	22976	1328594
17	23445	1279075
18	24069	1242749
19	24669	1208786
20	25132	1171665
21	25710	1142962
22	26360	1119745
23	27036	1099485
24	27514	1073053
25	28055	1051010
26	28598	1030606
27	29129	1011206
28	29696	994305
29	30234	977578
30	30901	965911
31	31446	951252
32	31995	937556
33	32552	924867
34	33161	914299
35	33742	903559
36	34410	895591
37	34984	885649
38	35625	877837
39	36159	867822
40	36740	859365
41	37313	851104
42	37773	840676
43	38281	831758
44	38749	822343
45	39192	812822
46	40264	816419
47	40711	807444
48	41196	799554
49	41660	791541
50	42158	784482
51	42709	778621
52	43186	771654
53	43652	764732
54	44191	759283
55	44644	752578
56	45315	749687
57	45779	743530
58	46281	738152
59	46756	732513
60	47262	727536
61	47760	722574
62	48340	718963
63	48804	713770
64	49281	708892
65	49704	703388
66	50249	699748
67	50778	695964
68	51307	692282
69	51762	687707
70	52262	683826
71	52735	679702
72	53214	675746
73	53747	672574
74	54243	669005
75	54733	665439
76	55190	661567
77	55692	658313
78	56189	655068
79	56646	651437
80	57086	647681
81	57569	644492
82	58066	641533
83	58549	638466
84	59044	635596
85	59537	632762
86	60049	630174
87	60582	627859
88	61108	625505
89	61634	623198
90	62102	620339
91	62818	619986
92	63411	618428
93	63891	615806
94	64367	613189
95	65310	615010
96	66761	621504
97	67230	618794
98	67743	616532
99	69013	621122
100	70648	628839
101	71237	627164
102	71948	626584
103	72960	628586
104	75609	644481
105	77200	651107
106	77726	648690
107	78245	646247
108	79948	653525
109	80464	651032
110	80923	648118
111	81761	648254
112	82351	646425
113	82985	644958
114	84200	647977
115	84753	645878
116	85300	643761
117	86671	647832
118	87649	648901
119	88365	648010
120	89376	649273
121	90295	649834
122	90788	647332
123	91379	645548
124	92613	648292
125	94162	653159
126	94711	651050
127	95333	649456
128	96270	650009
129	97190	650426
130	98216	651529
131	98879	650206
132	100694	656403
133	101170	653830
134	101807	652324
135	102300	649906
136	102950	648513
137	103557	646860
138	104435	646899
139	105578	648554
140	106678	649905
141	107553	649868
142	109454	655961
143	109946	653568
144	110574	652007
145	111110	649918
146	111760	648513
147	112427	647219
148	114714	655180
149	119156	675217
150	122077	686385
151	123430	688610
152	124158	687333
153	125178	687666
154	125720	685378
155	126281	683213
156	127438	684269
157	128481	684694
158	129645	685733
159	132063	693335
