iter	F1	Logloss
0	0.838256137	0.6540995138
1	0.838256137	0.6184804457
2	0.8391942643	0.5845766914
3	0.8392470051	0.5553480867
4	0.8395202741	0.530120193
5	0.8395202741	0.5053575037
6	0.8403141361	0.4810259127
7	0.8405764083	0.4606996597
8	0.8418480423	0.4419359707
9	0.8424462885	0.4250324881
10	0.8423328592	0.4097897262
11	0.8424166572	0.3954793229
12	0.844108624	0.38263225
13	0.8445273632	0.3704828673
14	0.8459142647	0.3591313977
15	0.8443665555	0.3487190671
16	0.8469191634	0.3375985118
17	0.8503297818	0.3264668401
18	0.8591265398	0.3174279186
19	0.8631437828	0.308799143
20	0.8635727481	0.3008371234
21	0.8658584278	0.2943050849
22	0.8641422898	0.2883632384
23	0.868153932	0.2821996152
24	0.8669642857	0.2768738895
25	0.8711219838	0.270857225
26	0.8721311475	0.2659347191
27	0.8739738185	0.2607573781
28	0.8756439373	0.2552674369
29	0.8814100799	0.2500658841
30	0.8825473777	0.2461200571
31	0.8831082943	0.2425049308
32	0.8844370861	0.2383216418
33	0.8867103596	0.2340576128
34	0.8880699631	0.2298256237
35	0.8891207645	0.2259783173
36	0.8898416887	0.2233196595
37	0.8904772377	0.2202836088
38	0.8920476373	0.2166010416
39	0.8938455637	0.2127697987
40	0.8941253836	0.2102056019
41	0.8954652371	0.2070924052
42	0.895698807	0.2049464005
43	0.8962496578	0.2024250836
44	0.8982782181	0.1994966184
45	0.8986663752	0.1975509141
46	0.8984285167	0.195085878
47	0.9012406405	0.1930290671
48	0.9019672131	0.1909146076
49	0.9021685694	0.1891782976
50	0.9032645485	0.1873445148
51	0.9046268005	0.1853116101
52	0.905380334	0.1831578792
53	0.9069995639	0.1810559476
54	0.9071276654	0.1797728234
55	0.9078818271	0.1777307665
56	0.908417325	0.1755868862
57	0.9085462171	0.1740726876
58	0.908942292	0.1730352172
59	0.9090314493	0.1720755041
60	0.9092394857	0.1708235904
61	0.9102298725	0.1695752998
62	0.9102794574	0.1685361707
63	0.9104477612	0.1674115146
64	0.9106656499	0.1664623067
65	0.9106559163	0.1656785221
66	0.911061489	0.164680556
67	0.9115068344	0.1637424792
68	0.9116557734	0.1628456382
69	0.9133249905	0.1616622276
70	0.9137199434	0.1601751655
71	0.9141831629	0.1593176977
72	0.9139966273	0.1586204296
73	0.9142826063	0.1579876923
74	0.9143416544	0.1571173765
75	0.9143509707	0.1564082789
76	0.9148635425	0.1551597991
77	0.9154163949	0.15390515
78	0.9159873927	0.1529544435
79	0.9166349862	0.1512267764
80	0.9173724213	0.1503450532
81	0.9174809989	0.1497213808
82	0.9181413527	0.1488783471
83	0.9185434417	0.1483335958
84	0.918475901	0.1477175623
85	0.9189365165	0.1470286461
86	0.9187605145	0.1465349375
87	0.919311954	0.1455038548
88	0.9197872571	0.1449466776
89	0.9199631016	0.1442935697
90	0.9200043417	0.1437265128
91	0.920405838	0.1430806074
92	0.9203885603	0.14261712
93	0.9208484783	0.1423280769
94	0.9208898535	0.1418284318
95	0.9209655547	0.1413188197
96	0.9209741281	0.1409730303
97	0.9218927855	0.1401614253
98	0.9218927855	0.1396844497
99	0.9218927855	0.1392288631
100	0.9223848238	0.1386533524
101	0.922960234	0.1381381675
102	0.9234768481	0.1375568948
103	0.9237182611	0.1369865059
104	0.9238265389	0.1365490491
105	0.9240095259	0.1360293972
106	0.9243424613	0.1356431722
107	0.9243424613	0.135241131
108	0.924392488	0.1347631223
109	0.9245507686	0.1344193117
110	0.9249080286	0.1339564208
111	0.9256314565	0.1334013534
112	0.9261621622	0.1324215171
113	0.9263863366	0.1319682876
114	0.9268108108	0.1315362727
115	0.9267949827	0.131144795
116	0.9269611288	0.1308228536
117	0.9270771393	0.1304966925
118	0.9271852533	0.1302750468
119	0.9274171756	0.1298588044
120	0.9282048512	0.1292757857
121	0.928312895	0.1288135642
122	0.9287257019	0.1283656311
123	0.9287758518	0.1280632744
124	0.9286100011	0.1278094433
125	0.9286601501	0.1276145556
126	0.9288336933	0.1271764731
127	0.929122807	0.1265997111
128	0.9290301689	0.1262677445
129	0.9291304583	0.1259101692
130	0.929253683	0.1256255349
131	0.9298236151	0.1253060524
132	0.9297658863	0.1250523813
133	0.930046923	0.124756776
134	0.9302551378	0.1244903734
135	0.9302551378	0.1241696687
136	0.9301974323	0.123912942
137	0.9302551378	0.1236439785
138	0.9302551378	0.123424588
139	0.9307592752	0.1231714407
140	0.9309322262	0.1228515218
141	0.9311701612	0.1224635944
142	0.9312203536	0.1222766076
143	0.9311627406	0.122075085
144	0.931212938	0.1216923885
145	0.9313931555	0.1214299144
146	0.931551148	0.1211767016
147	0.9318818711	0.1208751525
148	0.9317091575	0.1206730261
149	0.9319247561	0.1204444107
150	0.9320398814	0.1202181525
151	0.9325001347	0.1198566122
152	0.9332472007	0.1191737707
153	0.9339287636	0.1185218924
154	0.9341008123	0.1180793794
155	0.9342728055	0.1178850592
156	0.9344376916	0.1176500926
157	0.9346317319	0.1174991325
158	0.9347463554	0.1173412683
159	0.9352618561	0.1167470313
160	0.935483871	0.1165417328
161	0.9355983228	0.1163512976
162	0.9355983228	0.1161803599
163	0.9357768582	0.1158948017
164	0.9358340499	0.1156751638
165	0.9356121681	0.1154375272
166	0.9358774523	0.1152635994
167	0.9359277575	0.1149870333
168	0.9362068039	0.1147656567
169	0.9361130514	0.1143750739
170	0.9364354414	0.1142173552
171	0.9365429047	0.1141039569
172	0.936600043	0.113788876
173	0.9368285346	0.1136056796
174	0.9368285346	0.1134633406
175	0.9368788611	0.1133545257
176	0.9367143011	0.1131715257
177	0.9369998389	0.1130456795
178	0.9370066054	0.1129595705
179	0.9371207646	0.1127205807
180	0.937171088	0.1125943417
181	0.9371575894	0.1124069475
182	0.9372717508	0.1122444854
183	0.9372650124	0.1120353602
184	0.9373791622	0.1118899729
185	0.9373288223	0.1117429633
186	0.9375369246	0.1115770818
187	0.937694704	0.1113263208
188	0.9377584448	0.1111380608
189	0.9376443418	0.1110016293
190	0.9378725232	0.1107871641
191	0.9381509718	0.1106587862
192	0.9380873114	0.1104726798
193	0.9384863124	0.1101825163
194	0.9384929154	0.1099878397
195	0.9386002576	0.1098771987
196	0.9386572211	0.1097795002
197	0.9389419466	0.1096499438
198	0.9388280747	0.1095131994
199	0.9388915714	0.1093922858
200	0.9388915714	0.1091837209
201	0.9390054182	0.1090618615
202	0.9392899281	0.1088771883
203	0.9394036894	0.1086947194
204	0.9395174263	0.1085956896
205	0.9395678052	0.1084087828
206	0.9397319035	0.1079934717
207	0.9401232913	0.1076885978
208	0.940003217	0.1075921143
209	0.9401608579	0.1074515505
210	0.9403881205	0.1073242348
211	0.9406657019	0.1072119496
212	0.9406657019	0.1070622481
213	0.9406152857	0.1069605119
214	0.9406657019	0.1068386235
215	0.9407224783	0.1067214276
216	0.9410566927	0.1064366841
217	0.9412836173	0.1062888378
218	0.9420142421	0.1058491621
219	0.9420142421	0.1057506925
220	0.9422912206	0.1054083296
221	0.9424549007	0.1053016463
222	0.9423478401	0.1050869556
223	0.9422912206	0.1049306919
224	0.9421903436	0.104824176
225	0.9423540117	0.1046870751
226	0.9424044535	0.1045166612
227	0.94256811	0.1044472414
228	0.94256811	0.1043103297
229	0.9426308466	0.1042254283
230	0.9425804035	0.1041357908
231	0.9428571429	0.103831739
232	0.9428005779	0.1036658721
233	0.9429014823	0.1035402297
234	0.9430650685	0.1033339637
235	0.9430650685	0.1032362507
236	0.9432225611	0.1030795505
237	0.9432791096	0.1027923335
238	0.9432791096	0.1027092945
239	0.9432225611	0.1026289838
240	0.9432791096	0.1025279387
241	0.9432225611	0.102449294
242	0.9433861301	0.1023493985
243	0.9433861301	0.1022625837
244	0.9433921883	0.1021402224
245	0.9435617611	0.101987087
246	0.9439392318	0.1017912318
247	0.9438887403	0.1016377909
248	0.9438887403	0.1016312068
249	0.9438382542	0.1015073105
250	0.9438442614	0.1014490508
251	0.9440017115	0.101321866
252	0.9442780749	0.1010350783
253	0.9441146585	0.1009447277
254	0.9441770934	0.1008531623
255	0.9442216161	0.1007572317
256	0.9443285737	0.1007050541
257	0.944379078	0.1005553163
258	0.944379078	0.1005014581
259	0.9444355313	0.1004296447
260	0.9444860413	0.1003534881
261	0.9447117955	0.1002216254
262	0.9447623122	0.1001431771
263	0.9448692583	0.1000082297
264	0.9447623122	0.09986369361
265	0.9448246364	0.09976805404
266	0.9449315654	0.09969315602
267	0.9449315654	0.09942323214
268	0.9450384944	0.09929355199
269	0.9450948944	0.09902678554
270	0.9453145881	0.09887332281
271	0.9453262787	0.0988036411
272	0.9453768038	0.09870204315
273	0.9455400567	0.09847276573
274	0.9454331677	0.0983452172
275	0.9453768038	0.09825793682
276	0.9454331677	0.09808219747
277	0.9454836986	0.09800948201
278	0.9455342349	0.09798377878
279	0.9455342349	0.09797784223
280	0.9455342349	0.097914148
281	0.9454331677	0.09786568072
282	0.9454331677	0.09779865445
283	0.9455964087	0.09763356598
284	0.9455964087	0.09757859469
285	0.9457596323	0.097359859
286	0.9458101753	0.09727441197
287	0.9458665099	0.09716230138
288	0.9460239419	0.09707444626
289	0.9461871426	0.09701862377
290	0.9460297104	0.09693850945
291	0.9461928934	0.09685731112
292	0.9461928934	0.09678524314
293	0.9463054977	0.09670688214
294	0.946356059	0.096609562
295	0.9465249212	0.09648386865
296	0.9464686398	0.09644207272
297	0.9465697799	0.09637659606
298	0.9465697799	0.09633151902
299	0.9465697799	0.09628693669
300	0.9465697799	0.09620897582
301	0.9465697799	0.09615017778
302	0.9465697799	0.09606561832
303	0.946620358	0.09595848396
304	0.9465640697	0.09586477959
305	0.946620358	0.09579762964
306	0.9467329166	0.09574096323
307	0.9466823379	0.09568305277
