iter	Passed	Remaining
0	26	26488
1	51	25818
2	78	25932
3	102	25595
4	128	25638
5	153	25437
6	180	25578
7	204	25369
8	229	25290
9	253	25144
10	279	25128
11	303	24980
12	328	24977
13	353	24902
14	379	24895
15	416	25601
16	447	25873
17	490	26773
18	522	26999
19	547	26839
20	573	26727
21	597	26573
22	623	26476
23	647	26344
24	673	26266
25	697	26144
26	723	26087
27	748	25993
28	774	25924
29	800	25871
30	825	25798
31	850	25721
32	875	25665
33	899	25569
34	925	25516
35	949	25426
36	976	25402
37	1001	25355
38	1027	25320
39	1052	25251
40	1077	25202
41	1102	25155
42	1128	25117
43	1152	25048
44	1178	25011
45	1204	24980
46	1229	24936
47	1254	24871
48	1278	24819
49	1302	24753
50	1328	24717
51	1352	24660
52	1377	24620
53	1403	24594
54	1428	24543
55	1453	24493
56	1478	24455
57	1504	24430
58	1529	24398
59	1562	24473
60	1598	24606
61	1640	24815
62	1684	25049
63	1711	25027
64	1738	25001
65	1767	25018
66	1796	25017
67	1823	24986
68	1847	24926
69	1873	24897
70	1899	24848
71	1924	24802
72	1949	24754
73	1974	24704
74	1999	24655
75	2025	24620
76	2049	24572
77	2074	24519
78	2099	24470
79	2123	24422
80	2148	24372
81	2173	24332
82	2198	24292
83	2223	24245
84	2247	24193
85	2272	24151
86	2297	24107
87	2322	24066
88	2347	24033
89	2372	23989
90	2398	23955
91	2423	23915
92	2449	23885
93	2474	23847
94	2499	23810
95	2525	23782
96	2551	23752
97	2576	23712
98	2601	23675
99	2625	23632
100	2651	23605
101	2676	23563
102	2701	23526
103	2739	23603
104	2772	23629
105	2806	23666
106	2847	23763
107	2873	23729
108	2899	23697
109	2924	23659
110	2950	23632
111	2977	23604
112	3003	23577
113	3028	23540
114	3055	23514
115	3080	23473
116	3105	23435
117	3129	23393
118	3155	23363
119	3180	23325
120	3206	23290
121	3230	23248
122	3255	23210
123	3280	23173
124	3305	23136
125	3329	23093
126	3354	23061
127	3380	23026
128	3405	22995
129	3431	22961
130	3457	22932
131	3481	22895
132	3508	22871
133	3533	22835
134	3558	22802
135	3583	22764
136	3609	22734
137	3634	22701
138	3659	22669
139	3683	22627
140	3709	22597
141	3734	22562
142	3759	22527
143	3783	22492
144	3809	22464
145	3834	22427
146	3859	22398
147	3884	22363
148	3912	22346
149	3945	22359
150	3974	22345
151	4010	22375
152	4053	22439
153	4079	22408
154	4105	22382
155	4131	22354
156	4157	22322
157	4182	22287
158	4208	22258
159	4232	22222
160	4258	22189
161	4282	22152
162	4308	22122
163	4333	22089
164	4358	22056
165	4383	22023
166	4409	21993
167	4434	21961
168	4456	21914
169	4481	21879
170	4507	21853
171	4532	21821
172	4558	21789
173	4579	21741
174	4605	21713
175	4630	21677
176	4655	21646
177	4680	21612
178	4704	21578
179	4729	21543
180	4754	21513
181	4779	21481
182	4802	21438
183	4826	21406
184	4852	21375
185	4877	21343
186	4902	21313
187	4926	21279
188	4951	21247
189	4976	21213
190	5002	21187
191	5026	21154
192	5051	21120
193	5076	21090
194	5102	21064
195	5140	21084
196	5174	21093
197	5216	21130
198	5245	21114
199	5276	21105
200	5302	21076
201	5326	21041
202	5352	21013
203	5377	20983
204	5402	20951
205	5427	20917
206	5451	20886
207	5477	20856
208	5502	20826
209	5526	20791
210	5552	20764
211	5578	20733
212	5603	20703
213	5627	20669
214	5650	20629
215	5673	20594
216	5699	20565
217	5723	20532
218	5749	20503
219	5773	20468
220	5797	20434
221	5822	20403
222	5846	20371
223	5871	20339
224	5897	20311
225	5921	20280
226	5946	20250
227	5970	20217
228	5996	20189
229	6022	20161
230	6046	20129
231	6071	20099
232	6096	20068
233	6121	20038
234	6145	20006
235	6169	19972
236	6194	19943
237	6219	19913
238	6245	19886
239	6281	19890
240	6308	19868
241	6340	19858
242	6374	19857
243	6409	19858
244	6436	19833
245	6459	19799
246	6485	19771
247	6509	19739
248	6535	19711
249	6560	19680
250	6585	19650
251	6609	19617
252	6634	19589
253	6659	19559
254	6684	19529
255	6706	19489
256	6732	19463
257	6757	19434
258	6782	19404
259	6803	19364
260	6829	19336
261	6854	19306
262	6878	19275
263	6902	19243
264	6928	19215
265	6953	19186
266	6976	19152
267	7000	19121
268	7025	19091
269	7050	19063
270	7075	19034
271	7100	19003
272	7126	18979
273	7151	18949
274	7176	18919
275	7200	18889
276	7226	18861
277	7252	18834
278	7277	18807
279	7302	18776
280	7327	18749
281	7351	18717
282	7375	18686
283	7399	18656
284	7425	18630
285	7456	18615
286	7488	18604
287	7528	18612
288	7558	18596
289	7590	18583
290	7615	18555
291	7642	18530
292	7667	18502
293	7693	18475
294	7718	18446
295	7741	18411
296	7765	18381
297	7790	18353
298	7815	18324
299	7841	18296
300	7866	18268
301	7892	18241
302	7917	18211
303	7941	18181
304	7966	18153
305	7992	18125
306	8017	18098
307	8041	18068
308	8066	18039
309	8091	18010
310	8116	17981
311	8141	17952
312	8166	17924
313	8191	17895
314	8216	17867
315	8239	17834
316	8263	17804
317	8287	17774
318	8313	17746
319	8337	17718
320	8361	17687
321	8386	17659
322	8412	17632
323	8437	17604
324	8462	17576
325	8487	17547
326	8511	17518
327	8537	17490
328	8561	17462
329	8586	17432
330	8610	17403
331	8636	17376
332	8674	17374
333	8702	17353
334	8745	17359
335	8784	17359
336	8808	17330
337	8834	17303
338	8859	17274
339	8884	17246
340	8909	17217
341	8934	17189
342	8958	17159
343	8983	17131
344	9007	17101
345	9033	17075
346	9055	17040
347	9080	17012
348	9102	16979
349	9128	16952
350	9152	16923
351	9178	16895
352	9202	16867
353	9228	16840
354	9252	16810
355	9277	16782
356	9298	16747
357	9322	16718
358	9347	16690
359	9372	16662
360	9398	16636
361	9421	16604
362	9445	16575
363	9468	16544
364	9493	16516
365	9519	16489
366	9544	16462
367	9570	16436
368	9594	16406
369	9619	16379
370	9644	16351
371	9670	16325
372	9695	16298
373	9721	16271
374	9746	16244
375	9770	16214
376	9795	16187
377	9821	16161
378	9861	16157
